Year,Month,Week Number,Retailer,USA Region,Product,Sales Method,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin
2021,01,1,Foot Locker,Midwest,Men's Apparel,In-store,400.0,150,60000,30000.0,0.5
2021,01,1,Foot Locker,Midwest,Men's Apparel,Online,38.0,42,1596,1005.48,0.63
2021,01,1,Foot Locker,Midwest,Men's Athletic Footwear,In-store,300.0,250,75000,26250.000000000004,0.35
2021,01,1,Foot Locker,Midwest,Men's Athletic Footwear,Online,29.0,70,2030,933.8,0.46
2021,01,1,Foot Locker,Midwest,Men's Street Footwear,In-store,300.0,450,135000,40500.00000000001,0.3
2021,01,1,Foot Locker,Midwest,Men's Street Footwear,Online,27.0,113,3051,1372.9499999999998,0.45
2021,01,1,Foot Locker,Midwest,Women's Apparel,In-store,300.0,250,75000,30000.000000000007,0.4
2021,01,1,Foot Locker,Midwest,Women's Apparel,Online,28.0,75,2100,1092.0,0.52
2021,01,1,Foot Locker,Midwest,Women's Athletic Footwear,In-store,250.0,100,25000,7500.000000000002,0.3
2021,01,1,Foot Locker,Midwest,Women's Athletic Footwear,Online,24.0,26,624,280.79999999999995,0.45
2021,01,1,Foot Locker,Midwest,Women's Street Footwear,In-store,200.0,250,50000,15000.000000000004,0.3
2021,01,1,Foot Locker,Midwest,Women's Street Footwear,Online,19.0,68,1292,581.4,0.45
2021,01,1,Foot Locker,Northeast,Men's Apparel,In-store,450.0,125,56250,16875.0,0.3
2021,01,1,Foot Locker,Northeast,Men's Apparel,Online,44.0,33,1452,580.8000000000001,0.4
2021,01,1,Foot Locker,Northeast,Men's Apparel,Outlet,34.0,44,1496,538.56,0.36
2021,01,1,Foot Locker,Northeast,Men's Athletic Footwear,In-store,350.0,225,78750,27562.5,0.35
2021,01,1,Foot Locker,Northeast,Men's Athletic Footwear,Online,34.0,63,2142,963.8999999999999,0.45
2021,01,1,Foot Locker,Northeast,Men's Athletic Footwear,Outlet,28.0,79,2212,884.8,0.4
2021,01,1,Foot Locker,Northeast,Men's Street Footwear,In-store,350.0,425,148750,52062.5,0.35
2021,01,1,Foot Locker,Northeast,Men's Street Footwear,Online,34.0,115,3910,1798.6,0.46
2021,01,1,Foot Locker,Northeast,Men's Street Footwear,Outlet,23.0,149,3427,1439.34,0.42
2021,01,1,Foot Locker,Northeast,Women's Apparel,In-store,350.0,225,78750,31500.0,0.4
2021,01,1,Foot Locker,Northeast,Women's Apparel,Online,33.0,63,2079,1122.66,0.54
2021,01,1,Foot Locker,Northeast,Women's Apparel,Outlet,26.0,72,1872,879.84,0.47
2021,01,1,Foot Locker,Northeast,Women's Athletic Footwear,In-store,300.0,75,22500,9000.0,0.4
2021,01,1,Foot Locker,Northeast,Women's Athletic Footwear,Online,29.0,20,580,307.40000000000003,0.53
2021,01,1,Foot Locker,Northeast,Women's Athletic Footwear,Outlet,24.0,24,576,264.96000000000004,0.46
2021,01,1,Foot Locker,Northeast,Women's Street Footwear,In-store,250.0,225,56250,22500.000000000007,0.4
2021,01,1,Foot Locker,Northeast,Women's Street Footwear,Online,24.0,63,1512,831.6,0.55
2021,01,1,Foot Locker,Northeast,Women's Street Footwear,Outlet,19.0,72,1368,574.5600000000001,0.42
2021,01,1,Foot Locker,South,Men's Apparel,Online,324.54,410,133060,33632.2,0.25
2021,01,1,Foot Locker,South,Men's Apparel,Outlet,28.0,111,3108,870.2400000000001,0.28
2021,01,1,Foot Locker,South,Men's Athletic Footwear,Online,238.79,871,207988,63219.6,0.3
2021,01,1,Foot Locker,South,Men's Athletic Footwear,Outlet,20.0,209,4180,1504.8,0.36
2021,01,1,Foot Locker,South,Men's Street Footwear,Online,161.56,857,138458,41986.94,0.3
2021,01,1,Foot Locker,South,Men's Street Footwear,Outlet,14.0,223,3122,1061.4799999999998,0.34
2021,01,1,Foot Locker,South,Women's Athletic Footwear,Online,280.66,608,170639,68826.17,0.4
2021,01,1,Foot Locker,South,Women's Athletic Footwear,Outlet,26.0,166,4316,1812.7200000000003,0.42
2021,01,1,Foot Locker,South,Women's Street Footwear,Online,245.51,594,145832,44082.8,0.3
2021,01,1,Foot Locker,South,Women's Street Footwear,Outlet,21.0,162,3402,1258.74,0.37
2021,01,1,Foot Locker,Southeast,Men's Apparel,Online,406.33,914,371383,131050.00999999998,0.35
2021,01,1,Foot Locker,Southeast,Men's Apparel,Outlet,35.0,247,8645,3371.5499999999997,0.39
2021,01,1,Foot Locker,Southeast,Men's Athletic Footwear,Online,327.47,1031,337622,118929.89999999998,0.35
2021,01,1,Foot Locker,Southeast,Men's Athletic Footwear,Outlet,30.0,256,7680,3071.9999999999995,0.4
2021,01,1,Foot Locker,Southeast,Men's Street Footwear,Online,327.86,1281,419984,190290.72,0.45
2021,01,1,Foot Locker,Southeast,Men's Street Footwear,Outlet,26.0,349,9074,4264.780000000001,0.47
2021,01,1,Foot Locker,Southeast,Women's Apparel,Online,318.46,1064,338843,170305.8,0.5
2021,01,1,Foot Locker,Southeast,Women's Apparel,Outlet,30.0,281,8430,4467.900000000001,0.53
2021,01,1,Foot Locker,Southeast,Women's Athletic Footwear,Online,276.94,878,243152,73911.88,0.3
2021,01,1,Foot Locker,Southeast,Women's Athletic Footwear,Outlet,25.0,209,5225,1828.7499999999998,0.35
2021,01,1,Foot Locker,Southeast,Women's Street Footwear,Online,237.36,1073,254692,64679.880000000005,0.25
2021,01,1,Foot Locker,Southeast,Women's Street Footwear,Outlet,24.0,264,6336,2027.52,0.32
2021,01,1,Foot Locker,West,Men's Apparel,Online,46.0,46,2116,634.8,0.3
2021,01,1,Foot Locker,West,Men's Apparel,Outlet,500.0,175,87500,13125.0,0.15
2021,01,1,Foot Locker,West,Men's Athletic Footwear,Online,43.0,109,4687,1546.71,0.33
2021,01,1,Foot Locker,West,Men's Athletic Footwear,Outlet,450.0,375,168750,33750.0,0.2
2021,01,1,Foot Locker,West,Men's Street Footwear,Online,33.0,109,3597,1366.8600000000001,0.38
2021,01,1,Foot Locker,West,Men's Street Footwear,Outlet,350.0,375,131250,32812.5,0.25
2021,01,1,Foot Locker,West,Women's Apparel,Online,42.0,123,5166,2789.6400000000003,0.54
2021,01,1,Foot Locker,West,Women's Apparel,Outlet,450.0,425,191250,76500.0,0.4
2021,01,1,Foot Locker,West,Women's Athletic Footwear,Online,43.0,56,2408,842.8,0.35
2021,01,1,Foot Locker,West,Women's Athletic Footwear,Outlet,450.0,225,101250,25312.5,0.25
2021,01,1,Foot Locker,West,Women's Street Footwear,Online,41.0,113,4633,1667.8799999999999,0.36
2021,01,1,Foot Locker,West,Women's Street Footwear,Outlet,450.0,375,168750,42187.5,0.25
2021,01,1,Sports Direct,Midwest,Men's Apparel,Online,360.96,224,80856,28594.929999999993,0.35
2021,01,1,Sports Direct,Midwest,Men's Athletic Footwear,Online,282.57,349,98618,29916.92,0.3
